epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4398,0.54049,1.22129,1.18544,1.09971,0.89066,0.94345,0.9548,0.70863,0.89066,0.94345,0.95531,0.73024,0.75614,1.12828,1.52629,1.53804,0.000659722,0.000659722,0.000659722
2,130.568,0.5805,0.80581,0.75866,1.09795,0.81553,0.79096,0.82614,0.53782,0.81262,0.78814,0.81587,0.57056,0.99334,1.34907,1.69818,1.75762,0.00131326,0.00131326,0.00131326
3,196.156,0.60035,0.80857,0.65191,1.10223,0.82178,0.8206,0.88298,0.50791,0.82192,0.82142,0.88244,0.53977,0.92433,1.31282,1.47744,1.77015,0.00195359,0.00195359,0.00195359
4,257.17,0.6156,0.85147,0.60965,1.1159,0.89355,0.87288,0.92905,0.66743,0.87669,0.85311,0.89436,0.68199,0.98733,1.78182,0.93296,1.84353,0.0019406,0.0019406,0.0019406
5,321.115,0.58786,0.76526,0.55179,1.09788,0.89194,0.88603,0.94452,0.70554,0.89546,0.8953,0.94619,0.77098,0.8104,0.80696,0.95452,1.55991,0.0019208,0.0019208,0.0019208
6,382.225,0.55317,0.75721,0.50451,1.07792,0.93424,0.90395,0.93868,0.77526,0.92372,0.89266,0.91757,0.72493,0.62883,1.67601,0.79665,1.31029,0.001901,0.001901,0.001901
7,443.943,0.49694,0.66772,0.44085,1.03818,0.90496,0.87571,0.93983,0.77841,0.91664,0.88701,0.94522,0.832,0.67144,0.7363,0.87051,1.39704,0.0018812,0.0018812,0.0018812
8,506.392,0.49593,0.6719,0.42355,1.04063,0.98543,0.9322,0.97168,0.85796,0.98842,0.93503,0.97582,0.87525,0.52529,0.77963,0.56415,1.20219,0.0018614,0.0018614,0.0018614
9,571.643,0.48975,0.64964,0.41317,1.03951,0.97204,0.9774,0.98958,0.8121,0.97485,0.98023,0.98969,0.86312,0.67447,0.68175,0.74093,1.46583,0.0018416,0.0018416,0.0018416
10,640.384,0.47617,0.63503,0.40996,1.03904,0.96863,0.98305,0.98526,0.87006,0.96863,0.98305,0.98753,0.92304,0.49239,0.60436,0.42438,1.17371,0.0018218,0.0018218,0.0018218
